version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
cpus=4
              nc-26365 [001] 211673.500384: funcgraph_exit:         1.600 us   |    }
              nc-26365 [001] 211673.500384: funcgraph_entry:                   |    __wake_up() {
              nc-26365 [001] 211673.500385: funcgraph_entry:        0.186 us   |      _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500387: funcgraph_entry:        0.156 us   |      __wake_up_common();
              nc-26365 [001] 211673.500388: funcgraph_entry:        0.195 us   |      _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500390: funcgraph_exit:         4.410 us   |    }
              nc-26365 [001] 211673.500390: funcgraph_entry:                   |    __wake_up() {
              nc-26365 [001] 211673.500391: funcgraph_entry:        0.180 us   |      _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500392: funcgraph_entry:        0.151 us   |      __wake_up_common();
              nc-26365 [001] 211673.500394: funcgraph_entry:        0.165 us   |      _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500395: funcgraph_exit:         4.034 us   |    }
              nc-26365 [001] 211673.500396: funcgraph_entry:                   |    irq_exit() {
              nc-26365 [001] 211673.500396: funcgraph_entry:        0.130 us   |      idle_cpu();
              nc-26365 [001] 211673.500397: funcgraph_entry:        0.165 us   |      rcu_irq_exit();
              nc-26365 [001] 211673.500399: funcgraph_exit:         2.563 us   |    }
              nc-26365 [001] 211673.500399: funcgraph_exit:       + 18.037 us  |  }
              nc-26365 [001] 211673.500401: funcgraph_entry:                   |  __fdget() {
              nc-26365 [001] 211673.500402: funcgraph_entry:        0.868 us   |    __fget_light();
              nc-26365 [001] 211673.500404: funcgraph_exit:         2.187 us   |  }
              nc-26365 [001] 211673.500405: funcgraph_entry:                   |  sock_poll() {
              nc-26365 [001] 211673.500407: funcgraph_entry:        9.737 us   |    tcp_poll();
              nc-26365 [001] 211673.500418: funcgraph_exit:       + 12.770 us  |  }
              nc-26365 [001] 211673.500418: funcgraph_entry:                   |  __fdget() {
              nc-26365 [001] 211673.500418: funcgraph_entry:        0.174 us   |    __fget_light();
              nc-26365 [001] 211673.500419: funcgraph_exit:         0.556 us   |  }
              nc-26365 [001] 211673.500419: funcgraph_entry:                   |  tty_poll() {
              nc-26365 [001] 211673.500420: funcgraph_entry:        0.136 us   |    tty_paranoia_check();
              nc-26365 [001] 211673.500420: funcgraph_entry:                   |    tty_ldisc_ref_wait() {
              nc-26365 [001] 211673.500421: funcgraph_entry:                   |      ldsem_down_read() {
              nc-26365 [001] 211673.500421: funcgraph_entry:        0.056 us   |        _cond_resched();
              nc-26365 [001] 211673.500421: funcgraph_exit:         0.521 us   |      }
              nc-26365 [001] 211673.500421: funcgraph_exit:         0.935 us   |    }
              nc-26365 [001] 211673.500422: funcgraph_entry:                   |    n_tty_poll() {
              nc-26365 [001] 211673.500422: funcgraph_entry:        0.046 us   |      tty_hung_up_p();
              nc-26365 [001] 211673.500423: funcgraph_entry:                   |      tty_chars_in_buffer() {
              nc-26365 [001] 211673.500423: funcgraph_entry:        0.034 us   |        pty_chars_in_buffer();
              nc-26365 [001] 211673.500423: funcgraph_exit:         0.464 us   |      }
              nc-26365 [001] 211673.500423: funcgraph_entry:                   |      tty_write_room() {
              nc-26365 [001] 211673.500424: funcgraph_entry:                   |        pty_write_room() {
              nc-26365 [001] 211673.500424: funcgraph_entry:        0.108 us   |          tty_buffer_space_avail();
              nc-26365 [001] 211673.500424: funcgraph_exit:         0.576 us   |        }
              nc-26365 [001] 211673.500425: funcgraph_exit:         1.002 us   |      }
              nc-26365 [001] 211673.500425: funcgraph_exit:         2.937 us   |    }
              nc-26365 [001] 211673.500425: funcgraph_entry:                   |    tty_ldisc_deref() {
              nc-26365 [001] 211673.500425: funcgraph_entry:        0.065 us   |      ldsem_up_read();
              nc-26365 [001] 211673.500426: funcgraph_exit:         0.453 us   |    }
              nc-26365 [001] 211673.500426: funcgraph_exit:         6.301 us   |  }
              nc-26365 [001] 211673.500426: funcgraph_entry:                   |  poll_freewait() {
              nc-26365 [001] 211673.500426: funcgraph_entry:                   |    remove_wait_queue() {
              nc-26365 [001] 211673.500427: funcgraph_entry:        0.214 us   |      _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500427: funcgraph_entry:        0.061 us   |      _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500428: funcgraph_exit:         1.008 us   |    }
              nc-26365 [001] 211673.500428: funcgraph_entry:        0.062 us   |    fput();
              nc-26365 [001] 211673.500428: funcgraph_entry:                   |    remove_wait_queue() {
              nc-26365 [001] 211673.500429: funcgraph_entry:        0.062 us   |      _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500429: funcgraph_entry:        0.055 us   |      _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500429: funcgraph_exit:         0.893 us   |    }
              nc-26365 [001] 211673.500430: funcgraph_entry:        0.049 us   |    fput();
              nc-26365 [001] 211673.500430: funcgraph_entry:                   |    remove_wait_queue() {
              nc-26365 [001] 211673.500430: funcgraph_entry:        0.060 us   |      _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500431: funcgraph_entry:        0.051 us   |      _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500431: funcgraph_exit:         0.975 us   |    }
              nc-26365 [001] 211673.500431: funcgraph_entry:        0.054 us   |    fput();
              nc-26365 [001] 211673.500432: funcgraph_exit:         5.544 us   |  }
              nc-26365 [001] 211673.500434: funcgraph_entry:                   |  sys_read() {
              nc-26365 [001] 211673.500434: funcgraph_entry:                   |    __fdget_pos() {
              nc-26365 [001] 211673.500434: funcgraph_entry:        0.048 us   |      __fget_light();
              nc-26365 [001] 211673.500435: funcgraph_exit:         0.493 us   |    }
              nc-26365 [001] 211673.500435: funcgraph_entry:                   |    vfs_read() {
              nc-26365 [001] 211673.500435: funcgraph_entry:                   |      rw_verify_area() {
              nc-26365 [001] 211673.500436: funcgraph_entry:                   |        security_file_permission() {
              nc-26365 [001] 211673.500436: funcgraph_entry:        0.460 us   |          __fsnotify_parent();
              nc-26365 [001] 211673.500437: funcgraph_entry:        0.193 us   |          fsnotify();
              nc-26365 [001] 211673.500437: funcgraph_exit:         1.493 us   |        }
              nc-26365 [001] 211673.500438: funcgraph_exit:         2.437 us   |      }
              nc-26365 [001] 211673.500438: funcgraph_entry:                   |      __vfs_read() {
              nc-26365 [001] 211673.500438: funcgraph_entry:                   |        tty_read() {
